content;isCorrect;questionId
Calm but firm;1;1
Yelling at the staffs;0;1
Yelling at the guests;0;1
Not doing anything;0;1
Complain to the receptionist;1;2
Blame the staff;0;2
Blame the manager;0;2
Check in anyways;0;2
Ignore it;0;3
Listen to it and try to find a reasonable solution;1;3
Call the other staff to listen to it;0;3
Ask the customer to ignore it;0;3
Nothing;0;4
Hire temporary staffs for the event;1;4
Join in;0;4
Tell the staffs to ignore everything else and focus on the event;0;4
Sell rooms;0;5
Balance guess account;0;5
Offer services such as mail,FAX,etc;0;5
All of the above;1;5
ADR;0;6
ROP;0;6
RTS;0;6
A&B;1;6
Kick out random people;0;7
Stop the booking;1;7
Nothing;0;7
Build more rooms;0;7
Nothing;0;8
Gift them some chocolate;0;8
Praise them;0;8
Give them a raise or a bonus and praise them;1;8
Apologise and correct the order, offer some free drinks;1;9
Nothing;0;9
Kick the customer out;0;9
Fire the cook;0;9
Rack rate;0;10
Daily report;0;10
Room occupancy percentage;0;10
Average daily rate;1;10